N,runtime
552,21.799
553,21.834
554,21.86
555,21.864
556,21.873
557,21.901
558,21.94
559,21.931
560,21.975
561,21.914
562,21.884
563,21.962
564,21.936
565,21.974
566,21.993
567,21.999
568,22.035
569,22.047
570,22.064
571,22.044
572,22.054
573,22.077
574,22.094
575,22.123
576,22.109
577,22.107
578,22.112
579,22.164
580,22.166
581,22.17
582,22.193
583,22.175
584,22.201
585,22.193
586,22.252
587,22.289
588,22.308
589,22.339
590,22.331
591,22.349
592,22.392
593,22.358
594,22.399
595,22.377
596,22.399
597,22.432
598,22.463
599,22.463
600,22.462
601,22.472
602,22.506
603,22.528
604,22.493
605,22.522
606,22.552
607,22.512
608,22.551
609,22.519
610,22.567
611,22.572
612,22.625
613,22.586
614,22.626
615,22.631
616,22.65
617,22.651
618,22.697
619,22.682
620,22.72
621,22.705
622,22.735
623,22.739
624,22.757
625,22.761
626,22.774
627,22.809
628,22.822
629,22.886
630,22.86
631,22.821
632,22.852
633,22.818
634,22.845
635,22.833
636,22.85
637,22.883
638,22.919
639,22.908
640,22.94
641,22.964
642,22.997
643,23.014
644,23.01
645,23.042
646,23.008
647,23.055
648,23.073
649,23.065
650,23.074
651,23.094
652,23.118
653,23.128
654,23.15
655,23.148
656,23.147
657,23.202
658,23.172
659,23.2
660,23.215
661,23.218
662,23.23
663,23.272
664,23.239
665,23.278
666,23.264
667,23.289
668,23.303
669,23.321
670,23.319
671,23.328
672,23.349
673,23.357
674,23.375
675,23.414
676,23.389
677,23.394
678,23.404
679,23.387
680,23.433
681,23.423
682,23.445
683,23.456
684,23.455
685,23.457
686,23.498
687,23.504
688,23.518
689,23.523
690,23.505
691,23.515
692,23.555
693,23.576
694,23.566
695,23.576
696,23.579
697,23.634
698,23.628
699,23.644
700,23.658
701,23.625
702,23.654
703,23.68
704,23.69
705,23.676
706,23.714
707,23.723
708,23.73
709,23.743
710,23.77
711,23.8
712,23.835
713,23.785
714,23.776
715,23.78
716,23.842
717,23.821
718,23.877
719,23.836
720,23.881
721,23.87
722,23.878
723,23.895
724,23.923
725,23.936
726,23.935
727,23.971
728,24.005
729,23.979
730,24.035
731,24.041
732,24.013
733,24.052
734,24.071
735,24.082
736,24.062
737,24.104
738,24.104
739,24.106
740,24.128
741,24.149
742,24.142
743,24.172
744,24.146
745,24.17
746,24.172
747,24.191
748,24.192
749,24.207
750,24.236
751,24.29
752,24.292
753,24.277
754,24.284
755,24.301
756,24.281
757,24.302
758,24.305
759,24.335
760,24.326
761,24.333
762,24.322
763,24.356
764,24.38
765,24.374
766,24.356
767,24.391
768,24.385
769,24.431
770,24.433
771,24.399
772,24.426
773,24.449
774,24.458
775,24.488
776,24.501
777,24.481
778,24.477
779,24.504
780,24.533
781,24.54
782,24.556
783,24.599
784,24.585
785,24.615
786,24.616
787,24.621
788,24.639
789,24.641
790,24.649
791,24.664
792,24.656
793,24.643
794,24.677
