N,runtime,cp_times
20,12.446,8178
21,12.436,8071
22,12.397,7942
23,12.473,7804
24,12.393,7685
25,12.381,7590
26,12.428,7524
27,12.429,7450
28,12.371,7392
29,12.368,7354
30,12.385,7327
31,12.419,7284
32,12.387,7235
33,12.404,7186
34,12.429,7128
35,12.384,7048
36,12.377,6977
37,12.397,6912
38,12.453,6831
39,12.389,6778
40,12.412,6710
41,12.38,6679
42,12.429,6631
43,12.399,6598
44,12.361,6567
45,12.382,6526
46,12.378,6509
47,12.33,6494
48,12.371,6480
49,12.378,6472
50,12.385,6465
51,12.418,6462
52,12.354,6454
53,12.342,6452
54,12.401,6448
55,12.386,6448
56,12.402,6443
57,12.367,6437
58,12.381,6435
59,12.369,6434
60,12.386,6433
61,12.386,6428
62,12.331,6432
63,12.403,6425
64,12.406,6411
65,12.376,6395
66,12.387,6386
67,12.398,6378
68,12.37,6372
69,12.352,6356
70,12.417,6347
71,12.409,6338
72,12.419,6309
73,12.424,6293
74,12.47,6260
75,12.354,6237
76,12.409,6214
77,12.383,6195
78,12.423,6176
79,12.424,6157
80,12.402,6132
81,12.423,6114
82,12.442,6083
83,12.391,6050
84,12.461,6027
85,12.422,5992
86,12.417,5974
87,12.373,5947
88,12.397,5925
89,12.459,5921
90,12.498,5896
91,12.444,5873
92,12.426,5851
93,12.404,5838
94,12.475,5815
95,12.485,5796
96,12.447,5786
97,12.393,5769
98,12.444,5757
99,12.388,5741
100,12.439,5725
101,12.396,5710
102,12.421,5700
103,12.383,5689
104,12.426,5677
105,12.441,5654
106,12.463,5645
107,12.491,5636
108,12.396,5623
109,12.408,5612
110,12.417,5605
111,12.476,5601
112,12.403,5596
113,12.467,5593
114,12.416,5590
115,12.369,5585
116,12.345,5578
117,12.42,5570
118,12.391,5570
119,12.467,5565
120,12.42,5561
121,12.498,5559
122,12.471,5553
123,12.481,5552
124,12.518,5551
125,12.537,5548
126,12.47,5542
127,12.542,5541
128,12.505,5540
129,12.503,5535
130,12.492,5532
131,12.466,5530
132,12.533,5528
133,12.484,5527
134,12.438,5529
135,12.484,5528
136,12.541,5527
137,12.504,5528
138,12.499,5527
139,12.513,5527
140,12.551,5525
141,12.49,5526
142,12.475,5526
143,12.519,5525
144,12.546,5525
145,12.499,5525
146,12.529,5524
147,12.532,5524
148,12.483,5526
149,12.492,5523
150,12.473,5525
151,12.482,5524
152,12.514,5524
153,12.512,5522
154,12.503,5521
155,12.544,5521
156,12.476,5522
157,12.544,5521
158,12.565,5521
159,12.488,5521
160,12.586,5521
161,12.607,5520
162,12.537,5520
163,12.495,5520
164,12.548,5520
165,12.571,5521
166,12.552,5521
167,12.574,5521
168,12.487,5521
169,12.644,5521
170,12.521,5521
171,12.584,5521
172,12.599,5521
173,12.644,5521
174,12.632,5521
175,12.701,5521
176,12.739,5521
177,12.694,5520
178,12.59,5520
179,12.61,5520
180,12.636,5520
181,12.654,5520
182,12.635,5520
183,12.621,5520
184,12.547,5520
185,12.593,5520
186,12.627,5520
187,12.56,5520
188,12.627,5520
189,12.602,5520
190,12.676,5520
191,12.629,5520
192,12.696,5520
193,12.619,5520
194,12.61,5520
195,12.582,5520
196,12.673,5520
197,12.648,5520
198,12.629,5520
199,12.63,5520
200,12.619,5520
201,12.63,5520
202,12.645,5520
203,12.611,5520
204,12.663,5520
205,12.672,5520
206,12.646,5520
207,12.689,5520
208,12.729,5520
209,12.632,5520
210,12.666,5520
211,12.736,5520
212,12.779,5520
213,12.687,5520
214,12.769,5520
215,12.738,5520
216,12.65,5520
217,12.769,5520
218,12.747,5520
219,12.739,5520
220,12.682,5520
221,12.66,5520
222,12.754,5520
223,12.765,5520
224,12.718,5520
225,12.778,5520
226,12.713,5520
227,12.709,5520
228,12.703,5520
229,12.732,5520
230,12.647,5520
231,12.767,5520
232,12.738,5520
233,12.758,5520
234,12.728,5520
235,12.785,5520
236,12.744,5520
237,12.686,5520
238,12.746,5520
239,12.712,5520
240,12.698,5520
241,12.796,5520
242,12.767,5520
243,12.762,5520
244,12.753,5520
245,12.722,5520
246,12.674,5520
247,12.757,5520
248,12.757,5520
249,12.827,5520
250,12.728,5520
251,12.741,5520
252,12.76,5520
253,12.759,5520
254,12.737,5520
255,12.73,5520
256,12.81,5520
257,12.662,5520
258,12.807,5520
259,12.768,5520
260,12.748,5520
261,12.787,5519
262,12.743,5520
263,12.755,5520
264,12.817,5520
265,12.762,5520
266,12.82,5520
267,12.806,5519
268,12.792,5519
269,12.818,5519
270,12.825,5519
271,12.826,5519
272,12.776,5519
273,12.831,5519
274,12.803,5519
275,12.896,5519
276,12.968,5519
277,12.865,5519
278,12.843,5519
279,12.905,5519
280,12.91,5519
281,12.93,5519
282,12.863,5519
283,12.923,5519
284,12.941,5519
285,12.878,5519
286,12.894,5519
287,13.003,5519
288,13.103,5520
289,12.92,5519
290,12.905,5519
291,12.868,5519
292,13.039,5518
293,12.914,5518
294,13.023,5518
295,13.041,5518
296,12.981,5518
297,13.053,5518
298,13.028,5518
299,13.087,5518
300,13.086,5518
301,13.002,5518
302,12.927,5518
303,13.11,5518
304,13.236,5518
305,13.199,5518
306,13.191,5518
307,13.266,5518
308,13.074,5518
309,13.099,5518
310,13.143,5518
311,13.222,5518
312,13.124,5518
313,13.314,5518
314,13.144,5518
315,13.153,5518
316,13.319,5518
317,13.142,5517
318,13.17,5517
319,13.239,5517
320,13.215,5517
321,13.201,5517
322,13.202,5517
323,13.228,5517
