N,runtime,cp_times
20,14.212,1848
21,14.148,1846
22,14.336,1841
23,14.272,1839
24,14.468,1837
25,14.381,1832
26,14.486,1819
27,14.533,1807
28,14.576,1786
29,14.617,1760
30,14.5,1741
31,14.415,1703
32,14.423,1657
33,14.408,1606
34,14.467,1562
35,14.47,1521
36,14.407,1464
37,14.332,1411
38,14.398,1371
39,14.533,1320
40,14.527,1279
41,14.46,1227
42,14.65,1192
43,14.639,1166
44,14.705,1137
45,14.546,1112
46,14.677,1089
47,14.622,1073
48,14.686,1049
49,14.697,1033
50,14.698,1019
51,14.74,1006
52,14.852,986
53,14.842,973
54,14.916,969
55,14.912,957
56,14.913,951
57,14.972,946
58,15.04,944
59,15.072,943
60,15.082,937
61,15.17,935
62,15.186,932
63,15.262,930
64,15.295,928
65,15.278,928
66,15.329,926
67,15.409,924
68,15.415,922
69,15.51,922
70,15.535,921
71,15.569,921
72,15.668,921
73,15.637,921
74,15.729,921
75,15.793,920
76,15.865,920
77,15.903,920
78,15.746,920
79,15.852,920
80,15.99,920
81,15.932,920
82,16.067,920
83,16.127,920
84,16.197,920
85,16.148,920
86,16.222,920
87,16.256,920
88,16.337,920
89,16.522,920
90,16.538,920
91,16.508,920
92,16.546,920
93,16.613,920
94,16.729,920
95,16.709,920
96,16.757,920
97,16.832,920
98,16.876,920
99,16.959,920
100,16.919,920
101,16.973,920
102,16.99,920
103,17.127,920
104,17.166,920
105,17.104,920
106,17.198,920
107,17.295,920
108,17.304,920
109,17.352,920
110,17.385,920
111,17.457,920
112,17.525,920
113,17.427,920
114,17.604,920
115,17.651,920
116,17.642,920
117,17.669,920
118,17.703,920
119,17.734,920
120,17.738,920
121,17.823,920
122,17.99,920
123,18.032,920
124,17.995,920
125,18.047,920
126,18.126,920
127,18.074,920
128,18.157,920
129,18.201,920
130,18.344,920
131,18.351,920
132,18.409,920
133,18.418,920
134,18.454,920
135,18.548,920
136,18.449,920
137,18.488,920
138,18.494,920
139,18.466,920
140,18.667,920
141,18.575,920
142,18.587,920
143,18.75,920
144,18.765,920
145,18.654,920
146,18.63,920
147,18.803,920
148,18.977,920
149,18.841,920
150,18.873,920
151,18.942,920
152,18.862,920
153,18.873,920
154,18.881,920
155,18.929,920
156,19.035,920
157,18.982,920
158,19.124,920
159,19.214,920
160,19.235,920
161,19.232,920
162,19.315,920
163,19.427,920
164,19.406,920
165,19.321,920
166,19.376,920
167,19.305,920
168,19.323,920
169,19.422,920
170,19.294,920
171,19.419,920
172,19.472,920
173,19.435,920
174,19.476,920
175,19.645,920
176,19.642,920
177,19.641,920
178,19.603,920
179,19.687,920
180,19.653,920
181,19.653,920
182,19.679,920
183,19.686,920
184,19.641,920
185,19.8,920
186,19.83,920
187,19.789,920
188,20.102,920
189,19.844,920
190,20.193,920
191,20.221,920
192,20.194,920
193,20.136,920
194,20.407,920
195,20.452,920
196,20.252,920
197,20.462,920
198,20.218,920
199,20.722,920
200,20.541,920
201,20.37,920
202,20.517,920
203,20.509,920
204,20.673,920
205,20.32,920
206,20.658,920
207,20.363,920
208,20.581,920
209,20.426,920
210,20.53,920
211,20.441,920
212,20.549,920
213,20.603,920
214,20.642,920
215,20.661,920
216,20.694,920
217,20.784,920
218,20.815,920
219,20.937,920
220,20.99,920
221,20.986,920
222,21.16,920
223,20.943,920
224,21.183,920
225,21.228,920
226,21.419,920
227,21.428,920
228,21.511,920
229,21.379,920
230,21.301,920
231,21.329,920
232,21.389,920
233,21.489,920
234,21.457,920
235,21.452,920
236,21.446,920
237,21.477,920
238,21.431,920
239,21.479,920
240,21.563,920
241,21.54,920
242,21.592,920
243,21.618,920
244,21.684,920
245,21.665,920
246,21.712,920
247,21.749,920
248,21.777,920
249,21.798,920
250,21.85,920
251,21.899,920
252,21.93,920
253,21.929,920
254,21.911,920
255,22.063,920
256,22.074,920
257,22.135,920
258,22.141,920
259,22.212,920
260,22.211,920
261,22.2,920
262,22.299,920
263,22.301,920
264,22.356,920
265,22.388,920
266,22.416,920
267,22.468,920
268,22.511,920
269,22.582,920
270,22.63,920
271,22.674,920
272,22.701,920
273,22.771,920
274,22.746,920
275,22.786,920
276,22.787,920
277,22.852,920
278,22.882,920
279,22.912,920
280,22.953,920
281,22.998,920
282,23.027,920
283,23.032,920
284,23.077,920
285,23.108,920
286,23.229,920
287,23.217,920
288,23.227,920
289,23.286,920
290,23.321,920
291,23.331,920
292,23.372,920
293,23.417,920
294,23.478,920
295,23.462,920
296,23.489,920
297,23.529,920
298,23.592,920
299,23.59,920
300,23.568,920
301,23.727,920
302,23.721,920
303,23.788,920
304,23.848,920
305,23.84,920
306,23.881,920
307,23.905,920
308,23.934,920
309,23.968,920
310,24.05,920
311,24.091,920
312,24.109,920
313,24.159,920
314,24.213,920
315,24.257,920
316,24.289,920
317,24.229,920
318,24.285,920
319,24.313,920
320,24.32,920
321,24.347,920
322,24.359,920
323,24.374,920
324,24.397,920
325,24.442,920
326,24.545,920
327,24.508,920
328,24.592,920
329,24.562,920
330,24.6,920
331,24.662,920
332,24.672,920
333,24.709,920
334,24.744,920
335,24.787,920
336,24.859,920
337,24.876,920
338,24.894,920
339,24.934,920
340,24.98,920
341,24.994,920
342,25.039,920
343,25.039,920
344,25.052,920
345,25.092,920
346,25.104,920
347,25.168,920
348,25.17,920
349,25.179,920
350,25.193,920
351,25.239,920
352,25.305,920
353,25.253,920
354,25.435,920
355,25.483,920
356,25.51,920
357,25.545,920
358,25.595,920
359,25.663,920
360,25.605,920
361,25.664,920
362,25.661,920
363,25.741,920
364,25.765,920
365,25.761,920
366,25.781,920
367,25.845,920
368,25.88,920
369,25.868,920
370,25.896,920
371,25.958,920
372,25.988,920
373,26.039,920
374,26.127,920
375,26.125,920
376,26.163,920
377,26.252,920
378,26.253,920
379,26.284,920
380,26.315,920
381,26.336,920
382,26.357,920
383,26.408,920
384,26.4,920
385,26.442,920
386,26.676,920
387,26.502,920
388,26.543,920
389,26.563,920
390,26.633,920
391,26.634,920
392,26.662,920
393,26.709,920
394,26.754,920
395,26.786,920
396,26.815,920
397,26.806,920
398,26.911,920
399,26.915,920
400,26.92,920
401,26.914,920
402,26.948,920
403,26.976,920
404,27.008,920
405,27.097,920
406,27.092,920
407,27.149,920
408,27.16,920
409,27.17,920
410,27.302,920
411,27.331,920
412,27.405,920
413,27.409,920
414,27.467,920
415,27.478,920
416,27.502,920
417,27.54,920
418,27.608,920
419,27.678,920
420,27.697,920
421,27.757,920
422,27.796,920
423,27.837,920
424,27.868,920
425,27.963,920
426,27.958,920
427,28,920
428,28.031,920
429,28.075,920
430,28.092,920
431,28.085,920
432,28.143,920
433,28.187,920
434,28.249,920
435,28.262,920
436,28.305,920
437,28.407,920
438,28.41,920
439,28.444,920
440,28.477,920
441,28.483,920
442,28.483,920
443,28.563,920
444,28.62,920
445,28.614,920
446,28.69,920
447,28.748,920
448,28.77,920
449,28.813,920
450,28.913,920
451,28.946,920
452,29,920
453,29.02,920
454,29.067,920
455,29.063,920
456,29.142,920
457,29.154,920
458,29.185,920
459,29.219,920
460,29.228,920
461,29.313,920
462,29.324,920
463,29.349,920
464,29.586,920
465,29.432,920
466,29.461,920
467,29.481,920
468,29.517,920
469,29.567,920
470,29.621,920
471,29.644,920
472,29.688,920
473,29.728,920
474,29.772,920
475,29.787,920
476,29.789,920
477,29.822,920
478,29.883,920
479,29.924,920
480,29.913,920
481,30.144,920
482,29.987,920
483,30.01,920
484,30.026,920
485,30.073,920
486,30.125,920
487,30.15,920
488,30.206,920
489,30.24,920
490,30.304,920
491,30.34,920
492,30.336,920
493,30.391,920
494,30.451,920
495,30.48,920
496,30.503,920
497,30.54,920
498,30.59,920
499,30.61,920
500,30.624,920
501,30.654,920
502,30.682,920
503,30.708,920
504,30.728,920
505,30.774,920
506,30.806,920
507,30.834,920
508,30.849,920
509,30.876,920
510,30.917,920
511,30.969,920
512,30.996,920
513,31.059,920
514,31.075,920
515,31.079,920
516,31.081,920
517,31.13,920
518,31.188,920
519,31.236,920
520,31.271,920
521,31.287,920
522,31.361,920
523,31.382,920
524,31.442,920
525,31.481,920
526,31.542,920
527,31.52,920
528,31.602,920
529,31.651,920
530,31.648,920
531,31.681,920
532,31.673,920
533,31.725,920
534,31.724,920
535,31.795,920
536,31.772,920
537,31.824,920
538,31.865,920
539,31.906,920
540,31.876,920
541,31.89,920
542,31.942,920
543,31.988,920
544,32.019,920
545,32.057,920
546,32.067,920
547,32.103,920
548,32.097,920
549,32.117,920
550,32.169,920
551,32.193,920
552,32.232,920
553,32.269,920
554,32.304,920
555,32.309,920
556,32.325,920
557,32.371,920
558,32.392,920
559,32.41,920
560,32.453,920
561,32.478,920
562,32.539,920
563,32.568,920
564,32.61,920
565,32.644,920
566,32.597,920
567,32.669,920
568,32.708,920
569,32.738,920
570,32.737,920
571,32.743,920
572,32.756,920
573,32.867,920
574,32.894,920
575,32.88,920
576,32.926,920
577,32.98,920
578,33.011,920
579,33.016,920
580,33.08,920
581,33.09,920
582,33.105,920
583,33.095,920
584,33.114,920
585,33.201,920
586,33.186,920
587,33.187,920
588,33.209,920
589,33.266,920
590,33.276,920
591,33.359,920
592,33.361,920
593,33.366,920
594,33.415,920
595,33.473,920
596,33.475,920
597,33.481,920
598,33.502,920
599,33.517,920
600,33.583,920
601,33.589,920
602,33.636,920
603,33.649,920
604,33.662,920
605,33.686,920
606,33.73,920
607,33.739,920
608,33.778,920
609,33.871,920
610,33.91,920
611,33.905,920
612,33.961,920
613,33.972,920
614,34.041,920
615,34.068,920
616,34.127,920
617,34.138,920
618,34.118,920
619,34.158,920
620,34.223,920
621,34.238,920
622,34.257,920
623,34.293,920
624,34.316,920
625,34.305,920
626,34.293,920
627,34.347,920
628,34.364,920
629,34.377,920
630,34.405,920
631,34.417,920
632,34.449,920
633,34.48,920
634,34.529,920
635,34.549,920
636,34.568,920
637,34.582,920
638,34.616,920
639,34.641,920
640,34.683,920
641,34.68,920
642,34.713,920
643,34.728,920
644,34.751,920
645,34.772,920
646,34.808,920
647,34.817,920
648,34.92,920
649,34.886,920
650,34.909,920
651,34.998,920
652,34.938,920
653,34.973,920
654,34.96,920
655,35.015,920
656,35.033,920
657,35.074,920
658,35.1,920
659,35.116,920
660,35.154,920
661,35.132,920
662,35.136,920
663,35.21,920
664,35.2,920
665,35.243,920
666,35.251,920
667,35.243,920
668,35.288,920
669,35.311,920
670,35.367,920
671,35.366,920
672,35.363,920
673,35.431,920
674,35.403,920
675,35.426,920
676,35.5,920
677,35.552,920
678,35.591,920
679,35.584,920
680,35.631,920
681,35.606,920
682,35.68,920
683,35.696,920
684,35.713,920
685,35.743,920
686,35.768,920
687,35.772,920
688,35.788,920
689,35.784,920
690,35.862,920
691,35.835,920
692,35.867,920
693,35.899,920
694,35.873,920
695,35.89,920
696,36.089,920
697,36.095,920
698,36.195,920
699,36.172,920
700,36.195,920
701,36.281,920
702,36.23,920
703,36.272,920
704,36.31,920
705,36.338,920
706,36.355,920
707,36.389,920
708,36.421,920
709,36.426,920
710,36.457,920
711,36.5,920
712,36.548,920
713,36.563,920
714,36.603,920
715,36.615,920
716,36.634,920
717,36.659,920
718,36.74,920
719,36.74,920
720,36.783,920
721,36.82,920
722,36.823,920
723,36.899,920
724,36.915,920
725,36.902,920
726,36.947,920
727,36.989,920
728,37.009,920
729,37.034,920
730,37.007,920
731,37.103,920
732,37.151,920
733,37.17,920
734,37.206,920
735,37.23,920
736,37.268,920
737,37.28,920
738,37.304,920
739,37.358,920
740,37.377,920
741,37.426,920
742,37.418,920
743,37.452,920
744,37.533,920
745,37.534,920
746,37.57,920
747,37.645,920
748,37.659,920
749,37.673,920
750,37.714,920
751,37.747,920
752,37.799,920
753,37.791,920
754,37.861,920
755,37.9,920
756,37.891,920
757,37.914,920
758,37.989,920
759,37.978,920
760,38.06,920
761,38.061,920
762,38.149,920
763,38.173,920
764,38.166,920
765,38.199,920
766,38.255,920
767,38.247,920
768,38.271,920
769,38.321,920
770,38.387,920
771,38.388,920
772,38.401,920
773,38.427,920
774,38.432,920
775,38.492,920
776,38.513,920
777,38.528,920
778,38.56,920
779,38.61,920
780,38.603,920
781,38.659,920
782,38.672,920
783,38.7,920
784,38.746,920
785,38.76,920
786,38.744,920
787,38.78,920
788,38.871,920
789,38.871,920
790,38.879,920
791,38.92,920
792,38.947,920
793,38.97,920
794,39.005,920
795,39.007,920
796,39.055,920
797,39.052,920
798,39.119,920
799,39.171,920
800,39.196,920
801,39.183,920
802,39.246,920
803,39.232,920
804,39.248,920
805,39.254,920
806,39.295,920
807,39.335,920
808,39.348,920
809,39.348,920
810,39.388,920
811,39.441,920
812,39.474,920
813,39.46,920
814,39.455,920
815,39.501,920
816,39.508,920
817,39.537,920
818,39.569,920
819,39.548,920
820,39.644,920
821,39.663,920
822,39.67,920
823,39.691,920
824,39.722,920
825,39.752,920
826,39.721,920
827,39.775,920
828,39.834,920
829,39.842,920
830,39.902,920
831,39.903,920
832,39.948,920
833,39.975,920
834,39.954,920
835,40.004,920
836,40.056,920
837,40.033,920
838,40.044,920
839,40.072,920
840,40.098,920
841,40.147,920
842,40.14,920
843,40.176,920
844,40.188,920
845,40.209,920
846,40.225,920
847,40.242,920
848,40.303,920
849,40.289,920
850,40.346,920
851,40.336,920
852,40.373,920
853,40.381,920
854,40.404,920
855,40.431,920
856,40.436,920
857,40.522,920
858,40.492,920
859,40.497,920
860,40.547,920
861,40.578,920
862,40.615,920
863,40.588,920
864,40.588,920
865,40.588,920
866,40.609,920
867,40.654,920
868,40.713,920
869,40.734,920
870,40.749,920
871,40.768,920
872,40.778,920
873,40.816,920
874,40.82,920
875,40.841,920
876,40.884,920
877,40.899,920
878,40.903,920
879,40.917,920
880,40.919,920
881,40.942,920
882,41.002,920
883,40.971,920
884,41.035,920
885,41.11,920
886,41.155,920
887,41.131,920
888,41.172,920
889,41.205,920
890,41.222,920
891,41.209,920
892,41.238,920
893,41.246,920
894,41.267,920
895,41.276,920
896,41.265,920
897,41.34,920
898,41.373,920
899,41.378,920
900,41.427,920
901,41.501,920
902,41.473,920
903,41.526,920
904,41.569,920
905,41.575,920
906,41.569,920
907,41.598,920
908,41.615,920
909,41.728,920
910,41.645,920
911,41.682,920
912,41.682,920
913,41.687,920
914,41.648,920
915,41.734,920
916,41.794,920
917,41.778,920
918,41.819,920
919,41.84,920
920,41.85,920
921,41.861,920
922,41.926,920
923,41.918,920
924,41.989,920
925,41.969,920
926,42.05,920
927,42.032,920
928,42.12,920
929,42.123,920
930,42.155,920
931,42.159,920
932,42.184,920
