N,runtime,cp_times
374,18.195,2561
375,18.206,2559
376,18.244,2557
377,18.229,2553
378,18.274,2552
379,18.282,2549
380,18.329,2544
381,18.375,2541
382,18.421,2540
383,18.377,2538
384,18.439,2536
385,18.5,2534
386,18.515,2530
387,18.54,2530
388,18.545,2524
389,18.523,2524
390,18.561,2520
391,18.586,2513
392,18.661,2511
393,18.629,2510
394,18.718,2505
395,18.728,2502
396,18.751,2498
397,18.757,2495
398,18.788,2490
399,18.8,2483
400,18.858,2480
401,18.833,2477
402,18.841,2474
403,18.918,2472
404,18.898,2473
405,18.94,2470
406,18.904,2467
407,18.914,2464
408,18.931,2462
409,19.001,2461
410,19.03,2460
411,19.032,2456
412,19.104,2455
413,19.105,2452
414,19.099,2449
415,19.187,2443
416,19.191,2438
417,19.198,2435
418,19.263,2433
419,19.252,2430
420,19.321,2428
421,19.376,2424
422,19.383,2419
423,19.395,2414
424,19.433,2413
425,19.435,2411
426,19.447,2408
427,19.396,2400
428,19.496,2397
429,19.536,2394
430,19.533,2388
431,19.557,2388
432,19.619,2388
433,19.591,2387
434,19.649,2384
435,19.662,2379
436,19.677,2375
437,19.649,2373
438,19.705,2366
439,19.683,2359
440,19.706,2352
441,19.743,2351
442,19.733,2347
443,19.79,2346
444,19.808,2342
445,19.781,2341
446,19.869,2336
447,19.828,2332
448,19.906,2328
449,19.902,2326
450,19.943,2321
451,19.942,2315
452,19.954,2313
453,19.983,2314
454,19.995,2308
455,20.009,2307
456,20.015,2300
457,20.047,2293
458,20.055,2290
459,20.049,2290
460,20.099,2287
461,20.115,2283
462,20.125,2283
463,20.149,2278
464,20.219,2270
465,20.213,2266
466,20.263,2262
467,20.27,2259
468,20.296,2256
469,20.348,2251
470,20.307,2249
471,20.334,2246
472,20.304,2244
473,20.379,2242
474,20.409,2236
475,20.407,2235
476,20.407,2231
477,20.408,2231
478,20.46,2230
479,20.444,2226
480,20.44,2222
481,20.471,2220
482,20.483,2219
483,20.46,2216
484,20.517,2215
485,20.558,2213
486,20.589,2211
487,20.615,2204
488,20.623,2202
489,20.655,2195
490,20.647,2194
491,20.676,2193
492,20.706,2193
