N,runtime
552,17.324
553,17.326
554,17.406
555,17.362
556,17.431
557,17.385
558,17.642
559,17.497
560,17.501
561,17.59
562,17.651
563,17.694
564,17.648
565,17.858
566,17.674
567,17.692
568,17.806
569,17.803
570,17.81
571,17.782
572,17.94
573,17.814
574,17.885
575,18.018
576,17.983
577,17.999
578,17.985
579,18.059
580,18.122
581,18.151
582,18.126
583,18.081
584,18.196
585,18.211
586,18.134
587,18.239
588,18.269
589,18.259
590,18.341
591,18.328
592,18.403
593,18.383
594,18.359
595,18.392
596,18.413
597,18.435
598,18.494
599,18.497
600,18.458
601,18.508
602,18.612
603,18.634
604,18.704
605,18.743
606,18.819
607,18.794
608,18.763
609,18.83
610,18.877
611,18.867
612,18.91
613,18.926
614,18.933
615,18.989
616,18.905
617,19.022
618,19.081
619,19.068
620,19.105
621,19.087
622,19.154
623,19.11
624,19.233
625,19.172
626,19.22
627,19.31
628,19.288
629,19.305
630,19.327
631,19.364
632,19.34
633,19.413
634,19.415
635,19.421
636,19.411
637,19.575
638,19.573
639,19.607
640,19.665
641,19.559
642,19.641
643,19.64
644,19.679
645,19.603
646,19.6
647,19.741
648,19.822
649,19.803
650,19.871
651,19.895
652,19.796
653,19.818
654,19.943
655,19.979
656,19.942
657,19.991
658,19.935
659,20.072
660,19.952
661,20.017
662,20.047
663,20.063
664,20.135
665,20.176
666,20.215
667,20.295
668,20.247
669,20.233
670,20.247
671,20.248
672,20.225
673,20.464
674,20.282
675,20.377
676,20.328
677,20.371
678,20.572
679,20.399
680,20.514
681,20.463
682,20.52
683,20.535
684,20.578
685,20.571
686,20.524
687,20.634
688,20.655
689,20.59
690,20.714
691,20.677
692,20.682
693,20.715
694,20.915
695,20.776
696,20.898
697,20.864
698,20.922
699,21.02
700,20.905
701,20.927
702,20.954
703,20.988
704,20.983
705,21.231
706,21.077
707,21.011
708,21.101
709,21.106
710,21.134
711,21.105
712,21.073
713,21.215
714,21.145
715,21.227
716,21.26
717,21.292
718,21.241
719,21.412
720,21.297
721,21.406
722,21.507
723,21.428
724,21.375
725,21.38
726,21.519
727,21.423
728,21.584
729,21.53
730,21.589
731,21.616
732,21.577
733,21.705
734,21.702
735,21.651
736,21.749
737,21.744
738,21.73
739,21.644
740,21.781
741,21.776
742,21.821
743,21.857
744,21.885
745,21.796
746,21.819
747,21.954
748,21.917
749,22.098
750,22.094
751,22.003
752,22.113
753,22.054
754,22.107
755,22.169
756,22.167
757,22.098
758,22.202
759,22.31
760,22.277
761,22.289
762,22.251
763,22.412
764,22.34
765,22.274
766,22.343
767,22.406
768,22.334
769,22.369
770,22.459
771,22.501
772,22.481
773,22.502
774,22.542
775,22.509
776,22.646
777,22.601
778,22.564
779,22.752
780,22.732
781,22.78
782,22.718
783,22.729
784,22.782
785,22.818
786,22.997
787,22.797
788,22.852
789,22.75
790,22.913
791,22.93
792,22.919
793,22.936
794,22.936
795,22.971
796,22.937
797,23.048
798,22.924
799,23.009
800,23.1
801,23.086
802,22.995
803,23.074
804,23.285
805,23.133
806,23.185
807,23.25
808,23.26
809,23.203
810,23.258
811,23.359
812,23.209
813,23.369
814,23.413
815,23.478
816,23.476
817,23.408
818,23.422
819,23.477
820,23.665
821,23.421
822,23.5
823,23.526
824,23.667
825,23.55
826,23.644
827,23.633
828,23.583
829,23.655
830,23.599
831,23.867
832,23.859
833,23.751
834,23.791
835,23.739
836,23.834
837,23.851
838,23.813
839,23.778
840,23.821
841,23.852
842,24.019
843,23.969
844,23.991
845,23.976
846,24.036
847,24.138
848,24.123
849,24.149
850,24.108
851,24.15
852,24.185
853,24.019
854,24.055
855,24.28
856,24.188
857,24.288
858,24.182
859,24.394
860,24.256
861,24.339
862,24.321
863,24.27
864,24.562
865,24.325
866,24.409
867,24.337
868,24.643
869,24.366
870,24.409
871,24.456
872,24.674
873,24.428
874,24.65
875,24.678
876,24.572
877,24.579
878,24.633
879,24.938
880,24.661
881,24.684
882,24.699
883,24.677
884,24.695
885,24.722
886,24.892
887,24.721
888,24.911
889,24.743
890,24.839
891,24.849
892,24.911
893,24.767
894,24.909
895,24.863
896,25.038
897,24.906
898,25.048
899,25.101
900,25.097
901,24.999
902,25.059
903,25.034
904,25.013
905,25.058
906,25.188
907,25.091
908,25.112
909,25.089
910,25.386
911,25.214
912,25.229
913,25.217
914,25.204
915,25.38
916,25.329
917,25.381
918,25.527
919,25.45
920,25.325
921,25.398
922,25.423
923,25.438
924,25.385
925,25.427
926,25.523
927,25.476
928,25.561
929,25.653
930,25.567
931,25.571
932,25.708
933,25.658
934,25.597
935,25.59
936,25.637
937,25.688
938,25.684
939,25.791
940,25.893
941,25.825
942,25.935
943,25.775
944,25.815
945,25.868
946,25.893
947,25.926
948,26.044
949,25.95
950,26.021
951,25.954
952,26.043
953,26.185
954,26.007
955,26.235
956,26.228
957,26.19
958,26.066
959,26.273
960,26.254
961,26.18
962,26.214
963,26.151
964,26.31
965,26.305
966,26.389
967,26.377
968,26.313
969,26.34
970,26.362
971,26.385
972,26.427
973,26.453
974,26.433
975,26.422
976,26.462
977,26.479
978,26.508
979,26.513
980,26.533
981,26.597
982,26.62
983,26.742
984,26.828
985,26.775
986,26.818
987,26.988
988,26.662
989,26.734
990,26.819
991,26.806
992,26.872
993,26.85
994,26.847
995,26.903
996,26.973
997,26.894
998,26.893
999,26.89
1000,26.876
