N,runtime,cp_times
20,7.931,921
21,7.986,920
22,8.063,920
23,8.196,920
24,8.225,920
25,8.343,920
26,8.424,920
27,8.477,920
28,8.519,920
29,8.64,920
30,8.715,920
31,8.69,920
32,8.803,920
33,8.848,920
34,8.925,918
35,9.026,918
36,9.011,918
37,9.03,917
38,9.123,917
39,9.137,917
40,9.149,916
41,9.162,915
42,9.136,908
43,9.231,905
44,9.263,896
45,9.215,893
46,9.241,890
47,9.276,886
48,9.255,884
49,9.263,876
50,9.31,860
51,9.291,853
52,9.305,844
53,9.302,834
54,9.325,824
55,9.33,813
56,9.354,807
57,9.35,797
58,9.272,785
59,9.261,774
60,9.277,767
61,9.454,749
62,9.253,734
63,9.25,724
64,9.28,710
65,8.994,693
66,9.141,673
67,9.075,655
68,9.074,642
69,9.028,623
70,9.054,613
71,9.039,602
72,9.041,589
73,8.995,577
74,9.064,567
75,9.007,556
76,9.005,545
77,8.985,529
78,8.824,514
79,8.92,498
80,8.834,481
81,8.861,471
82,8.922,458
83,8.911,444
84,8.797,439
85,8.573,426
86,8.701,407
87,8.421,399
88,8.787,385
89,8.676,371
90,8.673,361
91,8.473,353
92,8.574,339
93,8.72,326
94,8.528,318
95,8.471,306
96,8.513,296
97,8.555,289
98,8.494,280
99,8.523,262
100,8.554,257
101,8.564,252
102,8.55,245
103,8.574,238
104,8.604,233
105,8.564,224
106,8.572,216
107,8.5,212
108,8.55,206
109,8.524,203
110,8.59,199
111,8.538,191
112,8.508,186
113,8.52,180
114,8.428,174
115,8.45,168
116,8.464,166
117,8.358,163
118,8.457,158
119,8.457,156
120,8.449,152
121,8.402,147
122,8.452,142
123,8.385,139
124,8.447,134
125,8.361,130
126,8.42,127
127,8.385,121
128,8.414,117
129,8.344,113
130,8.441,110
131,8.244,105
132,8.412,103
133,8.376,98
134,8.3,92
135,8.368,90
136,8.22,88
137,8.311,84
138,8.341,79
139,8.207,78
140,8.171,76
141,8.249,75
142,8.383,73
143,8.271,69
144,8.299,67
145,8.169,63
146,8.18,58
147,8.187,57
148,8.336,53
149,8.257,52
150,8.211,50
151,8.236,49
152,8.271,47
153,8.089,46
154,8.276,44
155,8.274,44
156,8.281,42
157,8.279,41
158,8.338,40
159,8.272,40
160,8.32,40
161,8.214,38
162,8.308,38
163,8.157,37
164,7.993,37
165,8.245,36
166,8.304,35
167,8.292,35
168,8.194,34
169,8.255,33
170,8.195,31
