N,runtime,cp_times
20,7.938
21,8.029
22,8.052
23,8.157
24,8.276
25,8.368
26,8.44
27,8.451
28,8.565
29,8.615
30,8.653
31,8.699
32,8.816
33,8.768
34,8.972
35,8.994
36,9.03
37,9.093
38,9.112
39,9.117
40,9.146
41,9.179
42,9.184
43,9.232
44,9.248
45,9.272
46,9.231
47,9.34
48,9.305
49,9.271
50,9.255
51,9.288
52,9.309
53,9.332
54,9.358
55,9.347
56,9.333
57,9.375
58,9.304
59,9.246
60,9.228
61,9.226
62,9.254
63,9.247
64,9.22
65,9.026
66,9.119
67,9.027
68,9.093
69,9.064
70,9.062
71,9.071
72,9.051
73,9.019
74,9.082
75,9.038
76,9.066
77,9.005
78,8.885
79,9.022
80,8.934
81,8.963
82,8.934
83,8.68
84,8.726
85,8.556
86,8.827
87,8.691
88,8.679
89,9.023
90,8.749
91,8.624
92,8.524
93,8.465
94,8.546
95,8.453
96,8.502
97,8.568
98,8.531
99,8.418
100,8.569
101,8.601
102,8.557
103,8.57
104,8.625
105,8.508
106,8.616
107,8.596
108,8.508
109,8.65
110,8.592
111,8.454
112,8.485
113,8.38
114,8.443
115,8.425
116,8.483
117,8.452
118,8.465
119,8.459
120,8.443
121,8.694
122,8.451
123,8.427
124,8.334
125,8.452
126,8.428
127,8.427
128,8.387
129,8.244
130,8.36
131,8.305
132,8.424
133,8.355
134,8.436
135,8.313
136,8.273
137,8.248
138,8.309
139,8.204
140,8.367
141,8.243
142,8.311
143,8.08
144,8.304
145,8.115
146,8.212
147,8.236
148,8.321
149,8.181
150,8.212
151,8.445
152,8.271
153,8.292
154,8.226
155,8.242
156,8.351
157,8.387
158,8.271
159,8.269
160,8.321
161,8.326
162,8.338
163,8.195
164,8.275
165,8.089
166,8.089
167,8.201
168,8.177
169,8.292
170,8.252
171,8.163
172,8.091
173,8.18
174,8.148
175,8.155
176,8.192
177,8.065
178,8.25
179,8.151
180,8.233
181,8.213
182,8.117
183,8.279
184,8.221
185,8.208
186,8.008
187,8.324
