N,runtime,cp_times
20,6.852,1859
21,6.87,1853
22,6.887,1847
23,6.917,1843
24,6.928,1842
25,6.906,1842
26,6.946,1841
27,6.962,1841
28,6.963,1841
29,6.988,1841
30,7.016,1839
31,7.06,1839
32,7.067,1838
33,7.122,1837
34,7.152,1835
35,7.208,1833
36,7.112,1830
37,7.291,1825
38,7.289,1819
39,7.352,1809
40,7.459,1799
41,7.321,1790
42,7.391,1781
43,7.446,1761
44,7.465,1745
45,7.472,1730
46,7.473,1708
47,7.47,1683
48,7.471,1660
49,7.54,1644
50,7.488,1627
51,7.564,1610
52,7.513,1592
53,7.5,1571
54,7.486,1548
55,7.473,1527
56,7.583,1500
57,7.479,1481
58,7.541,1472
59,7.526,1450
60,7.541,1432
61,7.512,1403
62,7.526,1391
63,7.55,1367
64,7.518,1343
65,7.515,1328
66,7.568,1316
67,7.56,1295
68,7.511,1278
69,7.538,1258
70,7.515,1242
71,7.527,1224
72,7.552,1211
73,7.554,1196
74,7.581,1185
75,7.504,1178
76,7.496,1157
77,7.541,1140
78,7.433,1127
79,7.467,1112
80,7.471,1102
81,7.523,1094
82,7.491,1084
83,7.517,1076
84,7.482,1066
85,7.472,1059
86,7.522,1054
87,7.498,1042
88,7.432,1035
89,7.467,1028
90,7.271,1023
91,7.418,1014
92,7.322,1012
93,7.433,1010
94,7.319,1002
95,7.338,999
96,7.422,992
97,7.326,990
98,7.263,984
99,7.318,981
100,7.307,978
101,7.288,970
102,7.309,968
103,7.259,967
104,7.292,964
105,7.293,965
106,7.317,961
107,7.274,957
108,7.224,955
109,7.203,954
110,7.263,952
111,7.187,952
112,7.214,950
113,7.239,948
114,7.258,947
115,7.205,946
116,7.067,946
117,7.197,944
118,7.166,942
119,7.162,939
120,7.098,939
121,7.127,937
122,7.129,937
123,7.077,937
124,7.142,937
125,7.16,936
126,7.114,935
127,7.165,934
128,7.078,934
129,7.104,932
130,7.216,932
131,7.143,932
132,7.097,929
133,7.128,928
134,7.145,928
135,7.121,928
136,7.103,927
137,7.173,927
138,7.15,926
139,7.136,926
140,7.101,926
141,7.139,926
142,7.147,926
143,7.088,926
144,7.103,926
145,7.163,926
146,7.08,926
147,7.193,926
148,7.195,926
149,7.19,926
150,7.221,926
151,7.145,926
152,7.176,926
153,7.181,926
154,7.185,926
155,7.153,926
156,7.216,926
157,7.116,925
158,7.129,925
159,7.193,924
160,7.154,924
161,7.138,924
162,7.181,924
